Date,Bill,AvgTemp
5/1/2015,383.37,71.4
6/1/2015,490.36,78.6
7/1/2015,481.11,80
8/1/2015,517.13,86.35
9/1/2015,381.3,79.15
10/1/2015,253.4,67.95
11/1/2015,227.03,54.5
12/1/2015,233.04,50
1/1/2016,207.19,42.8
2/1/2016,168.62,50.2
3/1/2016,179.83,59.75
4/1/2016,252.15,61.55
5/1/2016,306.27,66.5
6/1/2016,435.04,73.5
7/1/2016,483.43,80.85
8/1/2016,405.57,81.65
9/1/2016,359.22,79
10/1/2016,305.24,71.6
11/1/2016,229.79,58.05
12/1/2016,275.02,47.7
1/1/2017,180.62,45.5
2/1/2017,179.27,57.6
3/1/2017,285.53,61.5
4/1/2017,248.82,66.9
5/1/2017,342.95,67.7
6/1/2017,520.37,73.85
7/1/2017,480.31,79.5
8/1/2017,448.46,82.05
9/1/2017,340.48,75.4
10/1/2017,207.96,64.95
11/1/2017,228.52,58.7
12/1/2017,287.2,45.55
1/1/2018,194.93,38.4
2/1/2018,86.57,45.6
3/1/2018,209.36,60.6
4/1/2018,255.57,58.35
5/1/2018,458.36,70.9
6/1/2018,516.44,83.4
7/1/2018,480.32,89.65
8/1/2018,496,82.3
